"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://sigp2-prod.acpm.fr/les-membres/support/max-radio","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Max Radio","9","","0","DÉTAIL MENSUEL DE LA MARQUE RADIO","33","Informations","12","","","","","","","","","","238481","17859","17859","6.841","","714","85","8.400","100.000","Very Easy","2.661","2","2","","21","4","0","0.210","77","67","0","3","3","0","","","","","c29d80698c79fddc59199786d123ff85","0.293","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/max-radio","2026-02-05 23:45:16"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-madmoizelle","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque Madmoizelle","18","","0","FRÉQUENTATION INTERNET","22","FRÉQUENTATION INTERNET","22","","","","","","","","","","88464","10911","10911","4.180","","80","23","3.478","54.197","Fairly Hard","3.420","2","2","","12","3","0","0.160","71","63","0","3","3","0","","","","","630a880177c5407b6ee0343a666ed113","0.108","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-madmoizelle","2026-02-05 23:45:24"
"https://sigp2-prod.acpm.fr/les-membres/support/auto-plus","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Auto Plus","9","","0","HISTORIQUE DE DIFFUSION","23","HISTORIQUE D'AUDIENCE","21","","","","","","","","","","199627","16616","16616","6.365","","635","119","5.336","100.000","Very Easy","2.971","2","2","","22","4","0","0.210","79","67","0","5","5","0","","","","","66711e5b5561147ea53dd630b2deb832","0.181","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/auto-plus","2026-02-05 23:44:34"
"https://sigp2-prod.acpm.fr/les-membres/support/beur-fm","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Beur FM","7","","0","DÉTAIL MENSUEL DE LA MARQUE RADIO","33","Informations","12","","","","","","","","","","238534","17859","17859","6.841","","716","102","7.020","100.000","Very Easy","2.692","2","2","","21","4","0","0.210","77","67","0","3","3","0","","","","","83413affa676fd4eba6bf659aaf59a0f","0.317","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/beur-fm","2026-02-05 23:45:18"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-com-d-archi","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque Com d'Archi","18","","0","FRÉQUENTATION AUDIO","19","FRÉQUENTATION AUDIO","19","","","","","","","","","","86587","10362","10362","3.969","","89","23","3.870","70.779","Fairly Easy","3.456","3","2","","3","2","0","0.110","71","63","0","3","3","0","","","","","6a56e8627aca5da4ba24bbd0b7c3dbe4","0.061","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-com-d-archi","2026-02-05 23:46:42"
"https://sigp2-prod.acpm.fr/classements/digital-brands","text/html; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","CLASSEMENT DES MARQUES NUMÉRIQUES DÉCEMBRE 2025","47","","0","","0","","0","","","","","","","","","","2531400","76407","76407","29.270","","4209","548","7.681","100.000","Very Easy","1.245","1","1","","1892","1889","0","100.000","2426","322","0","3","3","0","","","","","59a24d9f73d5dd8ef7c4bd4d84f0f311","0.767","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/classements/digital-brands","2026-02-05 23:44:18"
"https://sigp2-prod.acpm.fr/les-membres/marque/marque-midi-olympique","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Marque Midi Olympique","21","","0","AUDIENCE PRESSE","15","AUDIENCE PRESSE","15","","","","","","","","","","115530","12140","12140","4.651","","164","49","3.347","64.157","Normal","3.580","2","2","","15","7","0","0.370","75","67","0","3","3","0","","","","","457f2c96c42b52ffbe69ab93d8e418b5","0.112","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/marque-midi-olympique","2026-02-05 23:45:50"
"https://sigp2-prod.acpm.fr/les-membres/support/cvdesignr-com","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Cvdesignr.com","13","","0","DÉTAIL MENSUEL DE LA FRÉQUENTATION","34","Informations","12","","","","","","","","","","168599","15364","15364","5.886","","513","71","7.225","100.000","Very Easy","3.184","2","2","","28","5","0","0.260","77","67","0","3","3","0","","","","","9ace535d6e5f13a2c63dd71ef5b2ed42","0.264","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/cvdesignr-com","2026-02-05 23:44:59"
"https://sigp2-prod.acpm.fr/les-membres/support/picoti","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Picoti","6","","0","HISTORIQUE DE DIFFUSION","23","DÉTAIL DE LA DIFFUSION","22","","","","","","","","","","177170","15557","15557","5.960","","549","93","5.903","100.000","Very Easy","3.048","2","2","","14","3","0","0.160","78","67","0","5","5","0","","","","","47d10665297387ea39828f7ed6f77090","0.324","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/picoti","2026-02-05 23:44:40"
"https://sigp2-prod.acpm.fr/les-membres/support/la-gazette-des-communes-des-departements-et-des-regions","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","La Gazette des Communes des Départements et des Régions","55","","0","HISTORIQUE DE DIFFUSION","23","DÉTAIL DE LA DIFFUSION","22","","","","","","","","","","177630","15688","15688","6.010","","561","93","6.032","100.000","Very Easy","3.094","2","2","","14","3","0","0.160","78","67","0","5","5","0","","","","","1115aefba091516cea88d7c15fe0af0","0.271","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/la-gazette-des-communes-des-departements-et-des-regions","2026-02-05 23:44:47"
"https://sigp2-prod.acpm.fr/les-membres/marque/www.parentepuise.com/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","3","3","","1","1","0","0.050","0","0","0","0","0","0","","","","","","0.044","","https://sigp2-prod.acpm.fr/les-membres/marque/www.parentepuise.com","HTTP Redirect","","","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/marque/www.parentepuise.com/","2026-02-05 23:47:04"
"https://sigp2-prod.acpm.fr/les-membres/support/toboggan","text/html; charset=UTF-8","200","OK","Indexable","","ACPM","4","56","","0","0","","0","Toboggan","8","","0","HISTORIQUE DE DIFFUSION","23","DÉTAIL DE LA DIFFUSION","22","","","","","","","","","","177140","15565","15565","5.963","","546","92","5.935","100.000","Very Easy","3.036","2","2","","14","3","0","0.160","78","67","0","4","4","0","","","","","5716752c735f8658b0d1bab745bfd028","0.236","","","","","fr","1.1","","","","","","https://sigp2-prod.acpm.fr/les-membres/support/toboggan","2026-02-05 23:44:41"
