Old URL,New URL,Similarity,Redirect Type,Notes
https://www.acpm.fr/Marque/marque-la-republique-des-pyrenees,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-republique-des-pyrenees,87.2%,301,High confidence
https://www.acpm.fr/Marque/marque-le-quotidien-de-la-reunion,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-quotidien-de-la-reunion,87.2%,301,High confidence
https://www.acpm.fr/Support/cumul-le-dauphine-libere-7-jours,https://sigp2-prod.acpm.fr/les-membres/support/cumul-le-dauphine-libere-7-jours,87.2%,301,High confidence
https://www.acpm.fr/Support/la-republique-du-centre-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/la-republique-du-centre-dimanche,87.2%,301,High confidence
https://www.acpm.fr/Marque/marque-le-moniteur-des-pharmacies,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-moniteur-des-pharmacies,87.2%,301,High confidence
https://www.acpm.fr/Support/le-chirurgien-dentiste-de-france,https://sigp2-prod.acpm.fr/les-membres/support/le-chirurgien-dentiste-de-france,87.2%,301,High confidence
https://www.acpm.fr/Marque/marque-lsa-commerce-consommation,https://sigp2-prod.acpm.fr/les-membres/marque/marque-lsa-commerce-consommation,87.0%,301,High confidence
https://www.acpm.fr/Marque/marque-l-hotellerie-restauration,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-hotellerie-restauration,87.0%,301,High confidence
https://www.acpm.fr/Marque/marque-retro-passion-automobiles,https://sigp2-prod.acpm.fr/les-membres/marque/marque-retro-passion-automobiles,87.0%,301,High confidence
https://www.acpm.fr/Marque/marque-l-eveil-de-la-haute-loire,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-eveil-de-la-haute-loire,87.0%,301,High confidence
https://www.acpm.fr/Support/couplage-groupe-depeche-semaine,https://sigp2-prod.acpm.fr/les-membres/support/couplage-groupe-depeche-semaine,87.0%,301,High confidence
https://www.acpm.fr/Marque/marque-l-officiel-des-spectacles,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-officiel-des-spectacles,87.0%,301,High confidence
https://www.acpm.fr/Marque/marque-journal-de-la-haute-marne,https://sigp2-prod.acpm.fr/les-membres/marque/marque-journal-de-la-haute-marne,87.0%,301,High confidence
https://www.acpm.fr/Marque/marque-l-observateur-de-beauvais,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-observateur-de-beauvais,87.0%,301,High confidence
https://www.acpm.fr/Les-membres/Annonceurs,https://sigp2-prod.acpm.fr/les-membres/membre/annonceurs,86.8%,301,High confidence
https://www.acpm.fr/Support/verre-et-menuiserie-actualites,https://sigp2-prod.acpm.fr/les-membres/support/verre-et-menuiserie-actualites,86.7%,301,High confidence
https://www.acpm.fr/Marque/marque-alternatives-economiques,https://sigp2-prod.acpm.fr/les-membres/marque/marque-alternatives-economiques,86.7%,301,High confidence
https://www.acpm.fr/Support/l-observateur-du-valenciennois,https://sigp2-prod.acpm.fr/les-membres/support/l-observateur-du-valenciennois,86.7%,301,High confidence
https://www.acpm.fr/Les-membres/Agences-media,https://sigp2-prod.acpm.fr/les-membres/membre/agences-medias,86.7%,301,High confidence
https://www.acpm.fr/Marque/marque-rugbyrama-midi-olympique,https://sigp2-prod.acpm.fr/les-membres/marque/marque-rugbyrama-midi-olympique,86.7%,301,High confidence
https://www.acpm.fr/Support/centre-presse-aveyron-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/centre-presse-aveyron-dimanche,86.7%,301,High confidence
https://www.acpm.fr/Marque/marque-le-democrate-de-bergerac,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-democrate-de-bergerac,86.7%,301,High confidence
https://www.acpm.fr/Support/l-us-l-universite-syndicaliste,https://sigp2-prod.acpm.fr/les-membres/support/l-us-l-universite-syndicaliste,86.7%,301,High confidence
https://www.acpm.fr/Marque/marque-la-gazette-des-communes,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-gazette-des-communes,86.4%,301,High confidence
https://www.acpm.fr/Support/l-action-agricole-de-touraine,https://sigp2-prod.acpm.fr/les-membres/support/l-action-agricole-de-touraine,86.4%,301,High confidence
https://www.acpm.fr/Marque/marque-la-republique-du-centre,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-republique-du-centre,86.4%,301,High confidence
https://www.acpm.fr/Marque/marque-le-journal-de-la-maison,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-journal-de-la-maison,86.4%,301,High confidence
https://www.acpm.fr/Marque/marque-la-semaine-des-pyrenees,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-semaine-des-pyrenees,86.4%,301,High confidence
https://www.acpm.fr/Support/cumul-paris-normandie-7-jours,https://sigp2-prod.acpm.fr/les-membres/support/cumul-paris-normandie-7-jours,86.4%,301,High confidence
https://www.acpm.fr/Marque/marque-le-betteravier-francais,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-betteravier-francais,86.4%,301,High confidence
https://www.acpm.fr/Support/le-berry-republicain-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/le-berry-republicain-dimanche,86.4%,301,High confidence
https://www.acpm.fr/Marque/marque-ad-architectural-digest,https://sigp2-prod.acpm.fr/les-membres/marque/marque-ad-architectural-digest,86.4%,301,High confidence
https://www.acpm.fr/Marque/marque-citizen-k-international,https://sigp2-prod.acpm.fr/les-membres/marque/marque-citizen-k-international,86.4%,301,High confidence
https://www.acpm.fr/Support/le-petit-bleu-d-agen-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/le-petit-bleu-d-agen-dimanche,86.4%,301,High confidence
https://www.acpm.fr/Support/couplage-nord-littoral-hebdos,https://sigp2-prod.acpm.fr/les-membres/support/couplage-nord-littoral-hebdos,86.4%,301,High confidence
https://www.acpm.fr/Marque/marque-c-est-pas-moi-c-est-toi,https://sigp2-prod.acpm.fr/les-membres/marque/marque-c-est-pas-moi-c-est-toi,86.4%,301,High confidence
https://www.acpm.fr/Marque/marque-bien-etre-sante-animal,https://sigp2-prod.acpm.fr/les-membres/marque/marque-bien-etre-sante-animal,86.0%,301,High confidence
https://www.acpm.fr/Support/le-journal-de-la-haute-marne,https://sigp2-prod.acpm.fr/les-membres/support/le-journal-de-la-haute-marne,86.0%,301,High confidence
https://www.acpm.fr/Support/35-millions-de-proprietaires,https://sigp2-prod.acpm.fr/les-membres/support/35-millions-de-proprietaires,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-la-semaine-de-l-allier,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-semaine-de-l-allier,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-la-nouvelle-republique,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-nouvelle-republique,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-la-semaine-veterinaire,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-semaine-veterinaire,86.0%,301,High confidence
https://www.acpm.fr/Support/le-republicain-lorrain-lundi,https://sigp2-prod.acpm.fr/les-membres/support/le-republicain-lorrain-lundi,86.0%,301,High confidence
https://www.acpm.fr/Support/tendance-ouest-edition-rouen,https://sigp2-prod.acpm.fr/les-membres/support/tendance-ouest-edition-rouen,86.0%,301,High confidence
